Video Title,Link,Start Time,End Time,Text,Speaker
64 Friday Sermon 26 Nov 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=vcUtTX5rQPs,00:00:00.000,00:00:08.359,"Dr. Khalifa: ...anything beside Quran are abusing the mosque, disobeying God and His messenger, and creating divisiveness.",Dr. Khalifa
64 Friday Sermon 26 Nov 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=vcUtTX5rQPs,00:00:08.820,00:00:13.438,It is the preaching of other than the Quran that (unintelligible) in Islam.,Dr. Khalifa
64 Friday Sermon 26 Nov 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=vcUtTX5rQPs,00:00:16.410,00:00:18.617,"Dr. Khalifa: Well, it says, do not worship in such a mosque.",Dr. Khalifa
64 Friday Sermon 26 Nov 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=vcUtTX5rQPs,00:00:19.334,00:00:19.834,A woman: What...,A woman
64 Friday Sermon 26 Nov 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=vcUtTX5rQPs,00:00:19.834,00:00:20.707,Dr. Khalifa: That's what I'm saying.,Dr. Khalifa
64 Friday Sermon 26 Nov 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=vcUtTX5rQPs,00:00:20.707,00:00:26.426,A woman: What does that mean in a situation where you're (unintelligible),A woman
64 Friday Sermon 26 Nov 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=vcUtTX5rQPs,00:00:29.193,00:00:30.988,Dr. Khalifa: (unintelligible) people like yourselves.,Dr. Khalifa
64 Friday Sermon 26 Nov 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=vcUtTX5rQPs,00:00:31.000,00:00:32.795,A woman: But it's real weird you just don't go there.,A woman
64 Friday Sermon 26 Nov 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=vcUtTX5rQPs,00:00:32.795,00:00:34.795,A woman: Like any place else there is no mosque.,A woman
64 Friday Sermon 26 Nov 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=vcUtTX5rQPs,00:00:35.615,00:00:38.000,"Dr. Khalifa: Yeah, it's like any other place where there is no mosque.",Dr. Khalifa
64 Friday Sermon 26 Nov 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=vcUtTX5rQPs,00:00:38.000,00:00:40.000,"A man: God will understand you, you know.",A man
64 Friday Sermon 26 Nov 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=vcUtTX5rQPs,00:00:40.000,00:00:42.410,"Dr. Khalifa: Yeah. Actually, it is not a mosque.",Dr. Khalifa
64 Friday Sermon 26 Nov 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=vcUtTX5rQPs,00:00:42.410,00:00:45.000,"A man: It's not a mosque, why there is no (unintelligible)
Dr. Khalifa: Yeah.",A man
64 Friday Sermon 26 Nov 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=vcUtTX5rQPs,00:00:45.000,00:00:48.180,Dr. Khalifa: It's like saying there is a place where there's only churches and synagogues.,Dr. Khalifa
64 Friday Sermon 26 Nov 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=vcUtTX5rQPs,00:00:48.180,00:00:49.463,A man: (unintelligible),A man
64 Friday Sermon 26 Nov 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=vcUtTX5rQPs,00:00:51.000,00:00:53.000,Dr. Khalifa: There are only churches and synagogues.,Dr. Khalifa
64 Friday Sermon 26 Nov 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=vcUtTX5rQPs,00:00:57.000,00:00:58.539,Dr. Khalifa: We can count it as one of them.,Dr. Khalifa
64 Friday Sermon 26 Nov 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=vcUtTX5rQPs,00:01:00.539,00:01:04.179,"A woman: So, (unintelligible), how do we (unintelligible)",A woman
64 Friday Sermon 26 Nov 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=vcUtTX5rQPs,00:01:07.693,00:01:10.410,"A woman: Like you're in a strange place traveling.
Dr. Khalifa: Well, you have, you have to find out.",A woman
64 Friday Sermon 26 Nov 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=vcUtTX5rQPs,00:01:14.304,00:01:20.454,"A woman: (unintelligible) I mean, (unintelligible)",A woman
64 Friday Sermon 26 Nov 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=vcUtTX5rQPs,00:01:22.555,00:01:25.283,Dr. Khalifa: The preacher is something besides Quran. You don't believe Quran.,Dr. Khalifa
64 Friday Sermon 26 Nov 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=vcUtTX5rQPs,00:01:27.999,00:01:33.944,"A woman: Basically, (unintelligible) where there's, where there's (unintelligible)",A woman
64 Friday Sermon 26 Nov 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=vcUtTX5rQPs,00:01:33.944,00:01:40.000,"Dr. Khalifa: (unintelligible) If I, if I am in Tempe or Phoenix or New York, and",Dr. Khalifa
64 Friday Sermon 26 Nov 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=vcUtTX5rQPs,00:01:40.000,00:01:42.000,"I want to Pray the Noon of the Afternoon,",Dr. Khalifa
64 Friday Sermon 26 Nov 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=vcUtTX5rQPs,00:01:42.000,00:01:45.590,"I walk in any of these mosques and I go make my Wudu and, and Pray.",Dr. Khalifa
64 Friday Sermon 26 Nov 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=vcUtTX5rQPs,00:01:47.281,00:01:49.025,"Just like at work, I,",Dr. Khalifa
64 Friday Sermon 26 Nov 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=vcUtTX5rQPs,00:01:49.025,00:01:52.254,I go make my Wudu and find a place and go Pray.,Dr. Khalifa
64 Friday Sermon 26 Nov 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=vcUtTX5rQPs,00:01:54.000,00:01:54.641,Dr. Khalifa: Tempe.,Dr. Khalifa
64 Friday Sermon 26 Nov 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=vcUtTX5rQPs,00:01:56.000,00:01:58.641,"A woman: This is, this is, this is what came to my mind.",A woman
64 Friday Sermon 26 Nov 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=vcUtTX5rQPs,00:01:59.000,00:02:01.000,A woman: There there is a specific...,A woman
64 Friday Sermon 26 Nov 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=vcUtTX5rQPs,00:02:01.666,00:02:03.205,"Dr. Khalifa: Well, up here we have a choice.",Dr. Khalifa
64 Friday Sermon 26 Nov 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=vcUtTX5rQPs,00:02:03.205,00:02:06.359,"We have a mosque where only God is commemorated,",Dr. Khalifa
64 Friday Sermon 26 Nov 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=vcUtTX5rQPs,00:02:06.359,00:02:08.052,and only Quran is preached.,Dr. Khalifa
64 Friday Sermon 26 Nov 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=vcUtTX5rQPs,00:02:10.307,00:02:13.743,"Dr. Khalifa: So, I would, I would, I would run for my life. I wouldn't go there.",Dr. Khalifa
64 Friday Sermon 26 Nov 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=vcUtTX5rQPs,00:02:15.359,00:02:17.769,A woman: But in another place where there isn't that choice...,A woman
64 Friday Sermon 26 Nov 1982 By Dr Rashad Khalifa,https://www.youtube.com/watch?v=vcUtTX5rQPs,00:02:17.769,00:02:18.410,Dr. Khalifa: Right.,Dr. Khalifa
