chapter,verse,arabic,english
1,1,بسم الله الرحمن الرحيم,"In the name of GOD, Most Gracious, Most Merciful.±"
1,2,الحمد لله رب العالمين,"Praise be to GOD, Lord of the universe."
1,3,الرحمن الرحيم,"Most Gracious, Most Merciful."
1,4,مالك يوم الدين,Master of the Day of Judgment.
1,5,إياك نعبد وإياك نستعين,You alone we worship; You alone we ask for help.
1,6,اهدنا الصراط المستقيم,Guide us in the right path;
1,7,صراط الذين أنعمت عليهم غير المغضوب عليهم ولا الضالين,"the path of those whom You blessed; not of those who have deserved wrath, nor of the strayers."
10,0,بسم الله الرحمن الرحيم,"In the name of GOD, Most Gracious, Most Merciful."
10,1,بسم الله الرحمن الرحيم الر ۚ تلك آيات الكتاب الحكيم,A. L. R.± These (letters) are the proofs of this book of wisdom.
10,10,دعواهم فيها سبحانك اللهم وتحيتهم فيها سلام ۚ وآخر دعواهم أن الحمد لله رب العالمين,"Their prayer therein is: ""Be You glorified, our god,"" their greeting therein is, ""Peace,"" and their ultimate prayer is: ""Praise be to GOD, Lord of the universe."""
10,100,وما كان لنفس أن تؤمن إلا بإذن الله ۚ ويجعل الرجس على الذين لا يعقلون,No soul can believe except in accordance with GOD's will. For He places a curse upon those who refuse to understand.
10,101,قل انظروا ماذا في السماوات والأرض ۚ وما تغني الآيات والنذر عن قوم لا يؤمنون,"Say, ""Look at all the signs in the heavens and the earth."" All the proofs and all the warnings can never help people who decided to disbelieve."
10,102,فهل ينتظرون إلا مثل أيام الذين خلوا من قبلهم ۚ قل فانتظروا إني معكم من المنتظرين,"Can they expect other than the fate of their counterparts in the past? Say, ""Just wait, and, along with you, I am also waiting."""
10,103,ثم ننجي رسلنا والذين آمنوا ۚ كذلك حقا علينا ننج المؤمنين,We ultimately save our messengers and those who believe. It is our immutable law that we save the believers.
10,104,قل يا أيها الناس إن كنتم في شك من ديني فلا أعبد الذين تعبدون من دون الله ولكن أعبد الله الذي يتوفاكم ۖ وأمرت أن أكون من المؤمنين,"Say, ""O people, if you have any doubt regarding my religion, I do not worship what you worship beside GOD. I worship GOD alone; the One who will terminate your lives. I am commanded to be a believer."""
10,105,وأن أقم وجهك للدين حنيفا ولا تكونن من المشركين,"I was commanded: ""Keep yourself devoted to the religion of monotheism; you shall not practice idol worship."
10,106,ولا تدع من دون الله ما لا ينفعك ولا يضرك ۖ فإن فعلت فإنك إذا من الظالمين,"""You shall not worship beside GOD what possesses no power to benefit you or harm you. If you do, you will be a transgressor."""
10,107,وإن يمسسك الله بضر فلا كاشف له إلا هو ۖ وإن يردك بخير فلا راد لفضله ۚ يصيب به من يشاء من عباده ۚ وهو الغفور الرحيم,"If GOD touches you with a hardship, none can relieve it except He. And when He blesses you, no force can prevent His grace. He bestows it upon whomever He chooses from among His servants. He is the Forgiver, Most Merciful."
10,108,قل يا أيها الناس قد جاءكم الحق من ربكم ۖ فمن اهتدى فإنما يهتدي لنفسه ۖ ومن ضل فإنما يضل عليها ۖ وما أنا عليكم بوكيل,"Proclaim: ""O people, the truth has come to you herein from your Lord. Whoever is guided is guided for his own good. And whoever goes astray, goes astray to his own detriment. I am not a guardian over you."""
10,109,واتبع ما يوحى إليك واصبر حتى يحكم الله ۚ وهو خير الحاكمين,"Follow what is revealed to you, and be patient until GOD issues His judgment; He is the best judge."
10,11,ولو يعجل الله للناس الشر استعجالهم بالخير لقضي إليهم أجلهم ۖ فنذر الذين لا يرجون لقاءنا في طغيانهم يعمهون,"If GOD hastened the retribution incurred by the people, the way they demand provisions, they would have been annihilated long ago. However, we leave those who do not believe in meeting us in their transgressions, blundering."
10,12,وإذا مس الإنسان الضر دعانا لجنبه أو قاعدا أو قائما فلما كشفنا عنه ضره مر كأن لم يدعنا إلى ضر مسه ۚ كذلك زين للمسرفين ما كانوا يعملون,"When adversity touches the human being, he implores us while lying down, or sitting, or standing up. But as soon as we relieve his adversity, he goes on as if he never implored us to relieve any hardship! The works of the transgressors are thus adorned in their eyes."
10,13,ولقد أهلكنا القرون من قبلكم لما ظلموا ۙ وجاءتهم رسلهم بالبينات وما كانوا ليؤمنوا ۚ كذلك نجزي القوم المجرمين,"Many a generation we have annihilated before you when they transgressed. Their messengers went to them with clear proofs, but they refused to believe. We thus requite the guilty people."
10,14,ثم جعلناكم خلائف في الأرض من بعدهم لننظر كيف تعملون,"Then we made you inheritors of the earth after them, to see how you will do."
10,15,وإذا تتلى عليهم آياتنا بينات ۙ قال الذين لا يرجون لقاءنا ائت بقرآن غير هذا أو بدله ۚ قل ما يكون لي أن أبدله من تلقاء نفسي ۖ إن أتبع إلا ما يوحى إلي ۖ إني أخاف إن عصيت ربي عذاب يوم عظيم,"When our revelations are recited to them, those who do not expect to meet us say, ""Bring a Quran± other than this, or change it!"" Say, ""I cannot possibly change it on my own. I simply follow what is revealed to me. I fear, if I disobey my Lord, the retribution of an awesome day."""
10,16,قل لو شاء الله ما تلوته عليكم ولا أدراكم به ۖ فقد لبثت فيكم عمرا من قبله ۚ أفلا تعقلون,"Say, ""Had GOD willed, I would not have recited it to you, nor would you have known anything about it. I have lived among you a whole life before this (and you have known me as a sane, truthful person). Do you not understand?"""
10,17,فمن أظلم ممن افترى على الله كذبا أو كذب بآياته ۚ إنه لا يفلح المجرمون,"Who is more evil than one who fabricates lies about GOD, or rejects His revelations. Certainly, the transgressors never succeed."
10,18,ويعبدون من دون الله ما لا يضرهم ولا ينفعهم ويقولون هؤلاء شفعاؤنا عند الله ۚ قل أتنبئون الله بما لا يعلم في السماوات ولا في الأرض ۚ سبحانه وتعالى عما يشركون,"They worship beside GOD idols that possess no power to harm them or benefit them, and they say, ""These are our intercessors at GOD!"" Say, ""Are you informing GOD of something He does not know in the heavens or the earth?"" Be He glorified. He is the Most High; far above needing partners."
10,19,وما كان الناس إلا أمة واحدة فاختلفوا ۚ ولولا كلمة سبقت من ربك لقضي بينهم فيما فيه يختلفون,"The people used to be one congregation, then they disputed. If it were not for a predetermined word from your Lord, they would have been judged immediately regarding their disputes."
10,2,أكان للناس عجبا أن أوحينا إلى رجل منهم أن أنذر الناس وبشر الذين آمنوا أن لهم قدم صدق عند ربهم ۗ قال الكافرون إن هذا لساحر مبين,"Is it too much of a wonder for the people that we inspired a man like them? He (was inspired to say), ""You shall warn the people, and give good news to those who believe that they have attained a position of prominence at their Lord."" The disbelievers said, ""This is a clever magician!"""
10,20,ويقولون لولا أنزل عليه آية من ربه ۖ فقل إنما الغيب لله فانتظروا إني معكم من المنتظرين,"They say, ""How come no miracle came down to him from his Lord?"" Say, ""The future belongs to GOD; so wait, and I am waiting along with you."""
10,21,وإذا أذقنا الناس رحمة من بعد ضراء مستهم إذا لهم مكر في آياتنا ۚ قل الله أسرع مكرا ۚ إن رسلنا يكتبون ما تمكرون,"When we bestow mercy upon the people, after adversity had afflicted them, they immediately scheme against our revelations! Say, ""GOD's scheming is far more effective. For our messengers are recording everything you scheme."""
10,22,هو الذي يسيركم في البر والبحر ۖ حتى إذا كنتم في الفلك وجرين بهم بريح طيبة وفرحوا بها جاءتها ريح عاصف وجاءهم الموج من كل مكان وظنوا أنهم أحيط بهم ۙ دعوا الله مخلصين له الدين لئن أنجيتنا من هذه لنكونن من الشاكرين,"He is the One who moves you across the land and sea. You get onto the ships, and they sail smoothly in nice breeze. Then, while rejoicing therein, violent wind blows, and the waves surround them from every side. This is when they implore GOD, sincerely devoting their prayers to Him alone: ""If You only save us this time, we will be eternally appreciative."""
10,23,فلما أنجاهم إذا هم يبغون في الأرض بغير الحق ۗ يا أيها الناس إنما بغيكم على أنفسكم ۖ متاع الحياة الدنيا ۖ ثم إلينا مرجعكم فننبئكم بما كنتم تعملون,"But as soon as He saves them, they transgress on earth, and oppose the truth. O people, your transgression is only to the detriment of your own souls. You remain preoccupied with this worldly life, then to us is your ultimate return, then we inform you of everything you had done."
10,24,إنما مثل الحياة الدنيا كماء أنزلناه من السماء فاختلط به نبات الأرض مما يأكل الناس والأنعام حتى إذا أخذت الأرض زخرفها وازينت وظن أهلها أنهم قادرون عليها أتاها أمرنا ليلا أو نهارا فجعلناها حصيدا كأن لم تغن بالأمس ۚ كذلك نفصل الآيات لقوم يتفكرون,"The analogy of this worldly life is like this: we send down water from the sky to produce with it all kinds of plants from the earth, and to provide food for the people and the animals. Then, just as the earth is perfectly adorned, and its people think that they are in control thereof, our judgment comes by night or by day,± leaving it completely barren, as if nothing existed the previous day. We thus explain the revelations for people who reflect."
10,25,والله يدعو إلى دار السلام ويهدي من يشاء إلى صراط مستقيم,"GOD invites to the abode of peace, and guides whomever He wills in a straight path."
10,26,للذين أحسنوا الحسنى وزيادة ۖ ولا يرهق وجوههم قتر ولا ذلة ۚ أولئك أصحاب الجنة ۖ هم فيها خالدون,"For the righteous, the reward will be multiplied manifold. Their faces will never experience any deprivation or shame. These are the dwellers of Paradise; they abide therein forever."
10,27,والذين كسبوا السيئات جزاء سيئة بمثلها وترهقهم ذلة ۖ ما لهم من الله من عاصم ۖ كأنما أغشيت وجوههم قطعا من الليل مظلما ۚ أولئك أصحاب النار ۖ هم فيها خالدون,"As for those who earned sins, their requital is equivalent to their sin. Humiliation is their lot, and no one beside GOD can protect them. Their faces will seem overwhelmed by masses of dark night. They will be the dwellers of Hell; they abide therein forever."
10,28,ويوم نحشرهم جميعا ثم نقول للذين أشركوا مكانكم أنتم وشركاؤكم ۚ فزيلنا بينهم ۖ وقال شركاؤهم ما كنتم إيانا تعبدون,"On the day when we summon them all, we will say to those who worshiped idols, ""We have summoned you, together with your idols."" We will have them confront each other, and their idols will say to them, ""We had no idea that you idolized us."
10,29,فكفى بالله شهيدا بيننا وبينكم إن كنا عن عبادتكم لغافلين,"GOD suffices as a witness between us and you, that we were completely unaware of your worshiping us."
