appendix	section	total	multiplier	context
appendix-1	6	118123	6217	Furthermore, when we add the numbers of all the verses where the word “God” occurs, we obtain a total of 118123, also a multiple of 19 (118123 = 19x6217
appendix-1	10	114	6	6234+112 = 6346] Note that 6+3+4+6= 19. 4. The Basmalah occurs 114 times, despite its conspicuous absence from Sura 9 (it occurs twice in Sura 27) & 114= 19 x 6
appendix-1	10	342	18	from 9 to 27 (9+10+11+12+...+26+27) is 342, or 19 x 18. 7. This total (342) also equals the number of words between the two Basmalahs of Sura 27, and 342 = 19 x 18
appendix-1	10	57	3	different Arabic letters, form 14 different sets of "Quranic Initials” (such as A.L.M. of 2:1), and prefix 29 suras. These numbers add up to 14+14+29=57= 19 x 3
appendix-1	35	95	5	Sura 42 consists of 53 verses, and 42+53 = 95 = 19x5
appendix-1	37	76	4	By counting the letter "Q” in every "Verse 19” throughout the Quran, the total count comes to 76, 19x4
appendix-1	42	133	7	three letters — Noon Wow Noon — in the original text, and is therefore counted as two N's. The total count of this letter in the N-initialed sura is 133, 19x7
appendix-1	44	2641	139	The word "God” (Allah) occurs 2641 (19x139
appendix-1	46	152	8	This initial prefixes three suras, 7, 19, and 38, and the total occurrence of the letter "S” (Saad) in these three suras is 152, 19x8
appendix-1	52	1406	74	was revealed in 13 B.H. (Before Hijrah). This makes the number of years from the revelation of the Quran to the revelation of its miracle 1393 + 13 = 1406 = 19x74
appendix-1	54	285	15	e two letters prefix Sura 36. The letter "Y” occurs in this sura 237 times, while the letter "S” (Seen) occurs 48 times. The total of both letters is 285, 19x15
appendix-1	63	2147	113	Frequency of Occurrence No. "H" "M" "H+M" 40 64 380 444 41 48 276 324 42 53 300 353 43 44 324 368 44 16 150 166 45 31 200 231 46 36 225 261 292 1855 2147 (19x113
appendix-1	67	9899	521	ese letters prefix six suras — 2, 3, 29, 30, 31, and 32 — and the total occurrence of the three letters in each of the six suras is a multiple of 19 [9899 (19x521
appendix-1	67	5662	298	fix six suras — 2, 3, 29, 30, 31, and 32 — and the total occurrence of the three letters in each of the six suras is a multiple of 19 [9899 (19x521), 5662 (19x 298
appendix-1	67	1672	88	2, 3, 29, 30, 31, and 32 — and the total occurrence of the three letters in each of the six suras is a multiple of 19 [9899 (19x521), 5662 (19x 298), 1672 (19x88
appendix-1	67	1254	66	31, and 32 — and the total occurrence of the three letters in each of the six suras is a multiple of 19 [9899 (19x521), 5662 (19x 298), 1672 (19x88), 1254 (19x66
appendix-1	67	817	43	nd the total occurrence of the three letters in each of the six suras is a multiple of 19 [9899 (19x521), 5662 (19x 298), 1672 (19x88), 1254 (19x66), 817 (19x43
appendix-1	67	570	30	rrence of the three letters in each of the six suras is a multiple of 19 [9899 (19x521), 5662 (19x 298), 1672 (19x88), 1254 (19x66), 817 (19x43), and 570 (19x30
appendix-1	67	19874	1046	9x 298), 1672 (19x88), 1254 (19x66), 817 (19x43), and 570 (19x30), respectively]. Thus, the total occurrence of the three letters in the six suras is 19874 (19x 1046
appendix-1	71	2489	131	These initials are found in Suras 10, 11, 12, 14, and 15. The total occurrences of these letters in these suras are 2489 (19x131
appendix-1	71	2375	125	These initials are found in Suras 10, 11, 12, 14, and 15. The total occurrences of these letters in these suras are 2489 (19x131), 2489 (19x131), 2375 (19x 125
appendix-1	71	1197	63	ls are found in Suras 10, 11, 12, 14, and 15. The total occurrences of these letters in these suras are 2489 (19x131), 2489 (19x131), 2375 (19x 125), 1197 (19x63
appendix-1	71	912	48	ras 10, 11, 12, 14, and 15. The total occurrences of these letters in these suras are 2489 (19x131), 2489 (19x131), 2375 (19x 125), 1197 (19x63), and 912 (19x48
appendix-1	73	9462	498	13 257 2489 (19x131) 11 1370 794 325 2489 (19x131) 12 1306 812 257 2375 (19x125) 14 585 452 160 1197 (19x63) 15 493 323 96 912 (19x48) 5073 3294 1095 9462 (19x498
appendix-1	77	5320	280	1530 times, “M” occurs 1164 times, and “S” (Saad) occurs 97 times. Thus, the total occurrence of the four letters in this sura is 2529+1530+1164+97 = 5320 = 19x280
appendix-1	81	798	42	“Y” occurs 343 times, “ `A” occurs 117 times, and “S” (Saad) occurs 26 times. Thus, the total occurrence of the five letters is 137+175+343+117+26 = 798 = 19x42
appendix-1	94	988	52	ionally, if we add the total gematrical value of all 14 initials, plus the number of the first sura where the initial occurs, we get a grand total of 988, 19x52
appendix-1	97	2033	107	nces of each of the 14 letters listed in Table 8 as an initial, plus the numbers of the suras where it occurs as an initial, the Grand Total comes to 2033, 19x107
appendix-1	100	1089479	57341	e of these letters in the whole sura. The Grand Total for all initialed suras is 1089479. This number, in excess of one million, is a multiple of 19 (1089479 = 19 x 57341
appendix-1	107	44232	2328	:1 (44) 44:1 (16), 45:1 (31), 46:1 (36) 40 46 Q (Qaf) 42:2 (57), 50:1 (57) 42 50 N (NuN) 68:1 (133) 68 68 43423 295 514 Grand Total = 43423+295+514 = 44232 = 19x2328
appendix-1	110	931	49	3 1 27 2 1 28 3 1 29 3 1 30 3 1 31 3 1 32 3 1 36 2 1 38 1 1 40 2 1 41 2 1 42 5 2 43 2 1 44 2 1 45 2 1 46 2 1 50 1 1 68 2 1 822 79 30 822 + 79 + 30 = 931 (19x49
appendix-1	112	2052	108	Sura No. No. of Initials Number of Initialed Verses 2 3 1 3 3 1 7 4 1 - - - 42 5 2 - - - 50 1 1 68 2 1 2022 30 2022 + 30 = 2052 (19x108
appendix-1	117	7030	370	54 1 48 144 42 53 2 278 375 43 89 1 48 181 44 59 1 48 152 45 37 1 48 131 46 35 1 48 130 50 45 1 100 196 68 52 1 50 + 50 221 822 + 2743 + 30 + 3435 = 7030 (19x370
appendix-1	120	63536	3344	x 286 + 1 + 71 = 644 3 x 200 + 1 + 71 = 672 7 x 206 + 1 + 161 = 1604 - - - - - 50 x 45 + 1 + 100 = 2351 68 x 52 + 1 + (50+50) = 3637 60071 30 3435 = 63536 (19x3344
appendix-1	123	190133	10007	No. No. of Verses Sum of Verse #s Total 2 286 41041 41329 3 200 20100 20303 7 206 21321 21534 - - - - 50 45 1035 1130 68 52 1378 1498 822 2743 186568 190133 (19x10007
appendix-1	125	15675	825	Sura Number Calculated Value 2 3 3 6 7 28 10 55 11 66 12 78 13 91 14 105 15 120 19 190 20 210 - - 44 990 45 1035 46 1081 50 1275 68 2346 15675 (19x825
appendix-1	126	237785	12515	The values calculated for the un-initialed suras add up to a total of 237785, which is also a multiple of 19 (237785 = 19x12515
appendix-1	135	2432	128	3 87 7 1 88 24 1 91 13 2 95 8 1 96 14 1 98 2,5,8 3 104 6 1 110 1,2 2 112 1,2 2 1798 634 57 (19x3) Sum of numbers of the suras & verses = 1798 + 634 = 2432 = 19 x 128
appendix-1	137	8170	430	Verse # Verses From First to Last 1. 1 1 2 2 2. 2 7 286 280 3. 3 2 200 199 - - - - - 83. 104 6 - 1 84. 110 1 2 2 85. 112 1 2 2 3910 4260 3910 +4260 =8170 = 19x430
appendix-1	154	4408	232	41 3 - 26 42 7 43 3 - 31 46 29 47 24 50 1 - 45 54 17 - 22 - 32 - 40 55 2 56 77 59 21 72 1 73 4 - 20 75 17 - 18 76 23 84 21 85 21 1356 3052 1356+3052=4408 (19x232
appendix-1	168	361	19	in the Quran 19 times. The reference to God "ALONE” occurs 5 times, and the sum of the sura and verse numbers where we find these five occurrences is 361, 19x19
appendix-1	170	316502	16658	No. No.of Verses Sum of Verse #s Total 2 123 27675 27800 3 200 20100 20303 - - - - 9 127 8128 8264 - - - - 72 28 406 506 73 9 45 127 2700 5312 308490 316502 (19x16658
appendix-1	174	2128	112	11. 27 26 1 12. 28 70, 88 2 13. 35 3 1 14. 39 6 1 15. 40 3, 62, 65 3 16. 44 8 1 17. 59 22, 23 2 18. 64 13 1 19. 73 9 1 507 1592 29 507 + 1592 + 29 = 2128 = 19x112
appendix-1	183	3040	160	Thus, Zakat and Hajj, together, give a total of 2395+645 = 3040 = 19x160
appendix-1	187	162146	8534	A total of 30 unique numbers are mentioned throughout the Quran, and the sum of all these numbers is 162146, a multiple of 19 (162146 = 19x8534
appendix-1	198	156066	8214	Sura No. No.of Verses Sum of Verse #s TOTAL 1 7 28 36 4 176 15576 15756 - - - - 9 127 8128 8264 - - - - 113 5 15 133 114 6 21 141 5733 3491 146842 156066 (19x8214
appendix-15	19	4636	244	prayer (4), followed by four [*]'s, and so on. Not only is the resulting long number a multiple of 19, but also the number of its component digits is 4636 (19x244
appendix-15	30	608	32	. Yawm M 40 12. Na'budu B 2 13. Mustaqim M 40 14. Mustaqim M 40 15. An`amta M 40 16. `Alayhim M 40 17. Maghdub M 40 18. Maghdub B 2 19. `Alayhim M 40 608 (19x32
appendix-18	3	361	19	0:12 & 84, and 60:4. All these occurrences refer to God, except 17:46. When we add the numbers of suras and verses which refer to "GOD ALONE," we get 361, 19x19
appendix-19	10	38	2	1. " = We did not leave anything out of this book," is in Verse 38 (19x2
appendix-19	12	114	6	2. " = He sent down this book fully detailed," is in Verse 114 (19x6
appendix-2	13	1349	71	s "Muhammad Khaatum Al-Nabiyyeen" (the last prophet). The gematrical value of this expression, plus the sura number (33) and the verse number (40) is 1349, 19x71,
appendix-2	18	1406	74	this fulfillment of the prophets' covenant was Zul-Hijja 3, 1391. If we add the month (12), plus the day (3), plus the year (1391), we get a total of 1406, 19x74
appendix-2	25	1463	77	2. 21 51 13. 40 29 14. - 38 15. 49 7 16. 72 2 17. - 10 18. - 14 (Sura 2 19. - 21 is a Repeat) ----- ----- ----- ---- 224 1145 38 56 224+114 5+38+56 = 1463 = 19x77
appendix-2	29	171	9	ura 38), refers to a human "Khalifa." If we add the numbers of suras and verses of "Rashad" (40:29, 38) and "Khalifa" (38:26) we get 40+29+38+38+26 = 171 = 19x9
appendix-2	32	1425	75	had Khalifa" (1230) to the sura numbers, and the number of verses, from the beginning of the Quran to the first occurrence of "Rashada," the total is 1425, 19x75
appendix-2	34	17233	907	Sura No.of Sum of No. Verses Verse #s ----- ------ -------- 1 7 28 2 185 17205 ----- ------ ------- 3 192 17233 (19x907
appendix-2	36	2052	108	1, 32, 36, 38, 40, 41, 42, 43, 44, 45, 46, 50, and 68. If we add the sum of these numbers (822) to the value of "Rashad Khalifa" (1230), the total is 2052, 19x108
appendix-2	38	1368	72	Verses Total ----- ------ ----- 2 286 288 4 176 180 7 206 213 11 123 134 18 110 128 21 112 133 40 85 125 49 18 67 72 28 100 ---- ----- ----- 224 1144 1368 (19x72
appendix-2	46	4541	239	es Total ---- ------ ----- 2 100(187-286) 102 3 200 203 4 176 180 5 120 125 - - - 35 45 80 36 83 119 37 182 219 38 26 64 ----- ------ ------ 740 3801 4541 (19x239
appendix-2	55	1311	69	dition of the gematrical value of "Rashad" (505), plus the gematrical value of "Khalifa" (725), plus the Verse number (81), produces 505 + 725 + 81 = 1311 = 19x69
appendix-2	57	1235	65	- Abraham 1+2+200+5+10+40 258 Ismail 1+60+40+70+10+30 211 Isaac 1+60+8+100 169 Muhammad 40+8+40+4 92 Rashad 200+300+1+4 505 --------------- ---- 1235 1235 (19x65
appendix-2	60	380	20	Sura No. of No. Verses Total ------ ------- ------ 1 7 8 2 286 288 3 81 84 ---- ------ ------ 6 374 380 (19x20
appendix-2	62	13148	692	(19) The gematrical value of Verse 3:81 is 13148, 19x692
appendix-2	66	1881	99	alue (612), plus the sura number (36), plus the verse number (3), plus the gematrical value of "Rashad Khalifa" (505+725), we get 36+3+612+505 +725 = 1881 = 19x99
appendix-2	67	4560	240	prophesied, to Sura 36, there are 3330 verses. By adding the value of "Rashad Khalifa" (1230), to this number of verses (3330), we get 505+725+3330 = 4560, 19x240
appendix-2	68	3838	202	(25) From 3:81 to 36:3 there are 3333 verses. By adding this number to the gematrical value of "Rashad" (505), we get 3333+505 = 3838 = 19x202
appendix-2	71	3705	195	(26) The number of verses from 1:1 to 36:3 is 3705, 19x195
appendix-2	72	257925	13575	(27) The sum of verse numbers of every sura from 1:1 to 36:3 is 257925, 19x13575
appendix-2	73	2508	132	of "Rashad Khalifa" (505+725), plus the gematrical value of verse 36:3 "Surely, you are one of the messengers," (612), the total is: 666+505+725+612=2508= 19x132
appendix-2	75	241395	12705	3836 2 3 20100 3 4 15576 4 5 7260 - - - 10 9 8128 - - - 33 34 1485 34 35 1035 35 36(1-3) 6 ---- -------- ------- 665 240695 (19 x 35) 35+665+240695 = 241395 (19x12705
appendix-2	77	665	35	(30) The sum of sura numbers from the the first occurrence of the root word "Rashada" to 36:3 is 665, 19x35
appendix-2	80	1254	66	(32) If we add the value of "Rashad Khalifa" (1230), plus the sura number (5), plus the verse number (19), we get 1230+5+19 = 1254 = 19x66
appendix-2	81	703	37	(33) The sum of the sura numbers and the number of verses from the beginning of the Quran to this verse (5:19) is 703, 19x37
appendix-2	84	1330	70	lims)." By adding the gematrical value of "Rashad Khalifa" (505+725) to the sura number (98), plus the verse number (2), we get: 505 + 725 + 98 + 2 = 1330 = 19x70
appendix-2	90	57	3	(37) The sum of the sura number (44) plus the number of the verse where the messenger is predicted (13) equals 57, 19x3
