root_id	root	occurrences
0	آ م م	1
1	ا ب ب	1
2	ا ب د	28
3	ا ب ر	69
4	ا ب ق	1
5	ا ب ل	3
6	ا ب و	117
7	ا ب ي	13
8	ا ت ي	549
9	ا ث ث	2
10	ا ث ر	21
11	ا ث ل	1
12	ا ث م	48
13	ا ج ج	3
14	ا ج ر	108
15	ا ج ل	56
16	ا ح د	85
17	ا خ ذ	273
18	ا خ ر	250
19	ا خ و	96
20	ا د د	1
21	ا د م	25
22	ا د ي	6
23	ا ذ	239
24	ا ذ ا	454
25	ا ذ ن	102
26	ا ذ ي	24
27	ا ر ب	2
28	ا ر ض	461
29	ا ر ك	5
30	ا ر م	1
31	ا ز ر	3
32	ا ز ز	2
33	ا ز ف	3
34	ا س ر	49
35	ا س س	3
36	ا س ف	5
37	ا س م	12
38	ا س ن	1
39	ا س ي	7
40	ا ش ر	2
41	ا ص ر	3
42	ا ص ل	10
43	ا ف ف	3
44	ا ف ق	3
45	ا ف ك	30
46	ا ف ل	4
47	ا ك ل	109
48	ا ل ت	1
49	ا ل ف	22
50	ا ل ل	2
51	ا ل ل ا	711
52	ا ل ل ت	68
53	ا ل ل ذ	1385
54	ا ل ل ی	15
55	ا ل م	75
56	ا ل ه	2956
57	ا ل ه م	5
58	ا ل و	37
59	ا ل ي	745
60	ا م	122
61	ا م ت	1
62	ا م د	4
63	ا م ر	248
64	ا م س	4
65	ا م ل	2
66	ا م م	117
67	ا م م ا	87
68	ا م ن	878
69	ا م و	2
70	ا ن	1196
71	ا ن ا	68
72	ا ن ت	81
73	ا ن ت م	136
74	ا ن ث	30
75	ا ن س	97
76	ا ن ف	3
77	ا ن م	1
78	ا ن ن	1878
79	ا ن ن م	165
80	ا ن و	3
81	ا ن ي	33
82	ا ه ل	127
83	ا و	280
84	ا و ب	17
85	ا و د	1
86	ا و ل	170
87	ا و ل ا	254
88	ا و ه	2
89	ا و ي	36
90	ا ي	1
91	ا ي ا	382
92	ا ي ب	4
93	ا ي د	9
94	ا ي ك	4
95	ا ي م	1
96	ا ي ن	33
97	ا ي ي	239
98	ب	516
99	ب ا ب	1
100	ب ا ر	1
101	ب ا س	73
102	ب ت ر	1
103	ب ت ك	1
104	ب ت ل	2
105	ب ث ث	9
106	ب ج س	1
107	ب ح ث	1
108	ب ح ر	42
109	ب خ س	7
110	ب خ ع	2
111	ب خ ل	12
112	ب د ا	15
113	ب د ر	2
114	ب د ع	4
115	ب د ل	44
116	ب د ن	2
117	ب د و	31
118	ب ذ ر	3
119	ب ر ا	31
120	ب ر ج	7
121	ب ر ح	3
122	ب ر د	5
123	ب ر ر	32
124	ب ر ز	9
125	ب ر ز خ	3
126	ب ر ص	2
127	ب ر ق	11
128	ب ر ك	32
129	ب ر م	2
130	ب ر ه ن	8
131	ب ز غ	2
132	ب س ر	2
133	ب س س	2
134	ب س ط	25
135	ب س ق	1
136	ب س ل	2
137	ب س م	1
138	ب ش ر	123
139	ب ص ر	148
140	ب ص ل	1
141	ب ض ع	7
142	ب ط ا	1
143	ب ط ر	2
144	ب ط ش	10
145	ب ط ل	36
146	ب ط ن	25
147	ب ع ث	67
148	ب ع ث ر	2
149	ب ع د	235
